#peak_xpix[arcmin] peak_ypix cluster_xpix cluster_ypix SN coresize[arcmin] M500c redshift nmatch
683.356934 496.545410 683.065478 496.332711 6.435554 0.250000 3.17856e+14 0.873143 1
698.972168 58.366699 698.608557 57.936838 6.927700 0.250000 2.50885e+14 0.729389 1
698.972168 58.366699 698.588287 58.790941 6.927700 0.250000 7.25694e+13 1.414606 2
755.910645 473.884277 756.092241 473.802406 4.529022 0.250000 2.53915e+14 0.645645 1
769.812012 403.806152 769.955950 403.467461 4.644660 0.250000 2.18061e+14 0.933107 1
27.707520 401.140137 27.786721 401.271011 6.698389 0.500000 2.67219e+14 0.569478 1
45.607910 448.366699 45.952140 447.981284 7.731581 0.500000 3.73841e+14 0.567447 1
118.542480 757.053223 118.737060 757.064102 6.245440 0.500000 3.4723e+14 0.774731 1
190.144043 546.818848 190.675675 547.329884 6.438346 0.500000 1.78003e+14 0.936015 1
191.096191 599.758301 190.989237 599.908934 5.435302 0.500000 2.06763e+14 0.762660 1
244.416504 620.134277 244.476176 619.961142 5.106316 0.500000 1.36648e+14 0.770979 1
288.596191 765.241699 289.507148 765.665145 5.402176 0.500000 1.4093e+14 0.463634 1
315.637207 356.579590 315.417953 356.740009 5.610201 0.500000 2.57837e+14 0.979304 1
330.109863 194.333496 329.920503 194.199716 10.931198 0.500000 2.88053e+14 0.264186 1
377.336426 698.020020 377.045760 697.639021 6.887320 0.500000 3.21123e+14 0.903963 1
381.525879 115.686035 381.650872 115.818304 7.045674 0.500000 3.13583e+14 0.994386 1
388.190918 651.364746 388.256704 651.222761 8.130531 0.500000 3.75492e+14 0.669936 1
425.895996 7.902832 426.084380 8.236800 5.595675 0.500000 2.15746e+14 0.921839 1
613.850098 502.829590 613.539441 502.395637 5.655282 0.500000 1.9267e+14 0.680113 1
693.259277 67.888184 692.733597 68.342819 5.588840 0.500000 1.56668e+14 0.521541 1
697.829590 447.033691 697.412839 447.276982 10.790205 0.500000 4.35125e+14 0.984629 1
134.538574 643.557129 134.739534 643.108438 4.734125 0.750000 2.07964e+14 0.335839 1
163.103027 236.608887 163.604219 236.651217 4.737633 0.750000 2.09343e+14 0.837105 1
214.709473 266.887207 214.957087 266.078276 4.753064 0.750000 2.70979e+14 0.754854 1
311.066895 506.828613 311.725448 506.577233 5.189370 0.750000 3.35856e+14 0.556871 1
313.161621 89.216309 312.882183 89.987041 4.666754 0.750000 2.0266e+14 1.152226 1
319.636230 453.508301 320.025412 453.454556 5.183384 0.750000 9.94326e+13 0.705190 1
444.367676 685.642090 444.478326 685.138725 5.976645 0.750000 2.34287e+14 0.928938 1
494.450684 633.083496 494.678353 632.865497 8.738600 0.750000 3.68497e+14 0.557749 1
535.773926 314.304199 535.872488 314.056073 4.733193 0.750000 1.10613e+14 1.237096 1
590.236816 309.733887 589.680777 309.326155 4.510404 0.750000 1.33333e+14 0.870943 1
650.412598 666.027832 650.305481 666.164471 7.553742 0.750000 3.02948e+14 0.402344 1
752.673340 311.638184 752.622013 311.992194 5.345793 0.750000 1.35666e+14 0.579369 1
13.425293 566.242676 13.873080 566.307299 5.005650 1.000000 2.09233e+14 0.772443 1
128.063965 318.493652 127.841223 318.757911 6.231909 1.000000 1.73665e+14 0.367605 1
192.810059 5.808105 193.022700 6.427200 6.117989 1.000000 2.63077e+14 0.302456 1
204.997559 485.881348 205.242174 485.805845 5.087442 1.000000 2.88218e+14 0.788640 1
242.702637 260.412598 243.033169 260.343720 6.762448 1.000000 1.99876e+14 0.449607 1
295.832520 413.137207 296.272075 413.386728 6.543154 1.000000 3.2474e+14 0.551825 1
104.831543 68.649902 105.296099 69.227340 5.393020 1.250000 3.14947e+14 0.477414 1
310.876465 464.934082 311.099880 465.616300 34.110687 1.250000 8.58057e+14 0.273823 1
365.339355 519.016113 365.479923 518.821685 9.359317 1.250000 4.25843e+14 0.554796 1
385.524902 613.659668 385.366017 613.193078 5.305824 1.250000 2.26283e+14 0.754763 1
485.119629 500.925293 485.263753 501.454972 4.534668 1.250000 1.52386e+14 0.761114 1
496.164551 625.275879 496.327271 624.995302 10.231541 1.250000 3.5077e+14 0.396529 1
579.382324 722.585449 578.808339 722.397762 4.869650 1.250000 1.55223e+14 0.833770 1
632.893066 691.354980 633.071408 690.789038 6.059612 1.250000 9.96437e+13 0.200208 1
30.944824 35.705566 30.993300 36.111659 9.428324 1.500000 4.55759e+14 0.296365 1
136.442871 363.435059 136.359605 363.274848 6.124373 1.750000 2.27014e+14 0.203675 1
682.595215 258.508301 682.496095 258.530989 5.187518 1.750000 1.84653e+14 0.285066 1
770.764160 295.261230 770.332671 295.121570 4.700003 1.750000 1.44621e+14 1.194228 1
135.109863 136.252441 135.518757 136.473474 5.143150 2.000000 1.08697e+14 0.620350 1
591.569824 532.536621 591.606599 532.470138 11.641787 2.000000 4.98691e+14 0.271272 1
45.798340 7.902832 46.012980 7.264920 5.785674 2.250000 8.39449e+13 0.583212 1
54.558105 621.086426 54.596879 619.851190 5.114219 2.250000 6.76171e+13 0.208947 1
54.558105 621.086426 55.967342 620.795760 5.114219 2.250000 1.51102e+14 1.830687 2
534.060059 460.935059 533.185365 460.683585 6.354608 2.250000 2.50437e+14 0.376565 1
634.035645 528.537598 632.891997 528.594318 6.177971 2.250000 1.62374e+14 0.336223 1
80.075684 659.743652 80.226898 659.885452 5.644043 3.000000 1.78071e+14 1.033544 1
265.744629 113.972168 266.568112 115.285556 4.907398 3.000000 1.1915e+14 0.721965 1
13.806152 567.004395 13.873080 566.307299 4.832244 0.250000 2.09233e+14 0.772443 1
67.126465 554.436035 67.133822 553.856935 4.861889 0.250000 1.02514e+14 1.166754 1
190.905762 547.390137 190.675675 547.329884 5.440135 0.250000 1.78003e+14 0.936015 1
192.810059 5.998535 193.022700 6.427200 5.787545 0.250000 2.63077e+14 0.302456 1
205.187988 485.881348 205.242174 485.805845 5.535700 0.250000 2.88218e+14 0.788640 1
215.090332 266.315918 214.957087 266.078276 4.698579 0.250000 2.70979e+14 0.754854 1
278.503418 651.364746 278.760307 651.549597 5.196515 0.250000 1.65315e+14 0.704347 1
353.532715 211.662598 353.188677 211.700581 4.607060 0.250000 1.56462e+14 0.603906 1
359.816895 516.540527 359.957508 516.458284 7.809691 0.250000 3.12643e+14 0.552688 1
377.145996 698.020020 377.045760 697.639021 7.118252 0.250000 3.21123e+14 0.903963 1
437.702637 551.389160 437.739133 551.081711 4.604010 0.250000 7.45994e+13 1.020913 1
440.368652 448.747559 440.565079 448.609990 4.851556 0.250000 1.36934e+14 1.863900 1
442.653809 472.932129 442.260768 473.826581 5.510258 0.250000 1.0619e+14 1.216718 1
444.367676 685.642090 444.478326 685.138725 6.426147 0.250000 2.34287e+14 0.928938 1
451.413574 553.674316 451.148107 553.711882 6.343177 0.250000 2.06564e+14 0.748200 1
457.507324 111.306152 457.716490 111.565738 9.089355 0.250000 3.18586e+14 0.911583 1
494.260254 633.083496 494.678353 632.865497 9.889563 0.250000 3.68497e+14 0.557749 1
574.621582 253.366699 574.432547 253.588929 5.391556 0.250000 1.93049e+14 0.501474 1
577.097168 22.185059 576.599382 22.758061 5.188023 0.250000 2.22957e+14 0.715925 1
606.804199 508.352051 606.543614 508.352516 4.529072 0.250000 1.97605e+14 0.797960 1
659.362793 325.539551 658.943996 325.698366 5.191175 0.250000 1.48648e+14 1.487686 1
667.360840 317.541504 666.998298 317.757969 4.930392 0.250000 1.98187e+14 0.505539 1
